City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,kirakira,100,SB,light rain,71,-10.45,161.92,83.23,0.21,0.21,2.42
1,flinders,51,AU,light rain,65,-34.58,150.86,64.0,0.23,0.23,13.0
2,mataura,83,NZ,broken clouds,92,-46.19,168.86,46.13,0.0,0.0,3.04
3,punta arenas,18,CL,few clouds,69,-53.15,-70.92,33.8,0.0,0.0,6.93
4,kapaa,1,US,clear sky,69,22.08,-159.32,80.6,0.0,0.0,12.75
5,fukue,75,JP,broken clouds,78,32.69,128.84,80.6,0.0,0.0,17.22
6,stanari,11,BA,few clouds,82,44.75,17.83,57.2,0.0,0.0,6.93
7,amalapuram,40,IN,scattered clouds,62,16.58,82.02,89.6,0.0,0.0,6.93
8,kodiak,90,US,overcast clouds,81,57.79,-152.41,51.8,0.0,0.0,10.29
9,busselton,99,AU,overcast clouds,59,-33.65,115.33,62.01,0.0,0.0,1.99
10,mar del plata,100,AR,overcast clouds,100,-38.0,-57.56,50.0,0.0,0.0,2.24
11,cananeia,0,BR,clear sky,79,-25.01,-47.93,67.05,0.0,0.0,5.08
12,chuy,100,UY,light rain,94,-33.7,-53.46,64.18,0.16,0.16,0.72
13,yellowknife,75,CA,broken clouds,37,62.46,-114.35,66.2,0.0,0.0,12.75
14,atar,0,MR,clear sky,19,20.52,-13.05,89.31,0.0,0.0,3.22
15,den helder,20,NL,few clouds,88,52.96,4.76,66.99,0.0,0.0,6.93
16,butaritari,14,KI,few clouds,73,3.07,172.79,83.79,0.0,0.0,13.38
17,vao,11,NC,few clouds,77,-22.67,167.48,71.28,0.0,0.0,14.58
18,hervey bay,0,AU,clear sky,54,-25.3,152.85,68.0,0.0,0.0,1.01
19,sao jose da coroa grande,6,BR,light rain,85,-8.9,-35.15,74.71,0.26,0.26,7.92
20,albany,82,US,light rain,74,42.6,-73.97,78.01,0.19,0.19,1.01
21,yeppoon,0,AU,clear sky,38,-23.13,150.73,73.4,0.0,0.0,6.93
22,hermanus,0,ZA,clear sky,96,-34.42,19.23,44.01,0.0,0.0,3.0
23,ribeira grande,31,PT,scattered clouds,67,38.52,-28.7,61.02,0.0,0.0,12.62
24,kyra,100,RU,overcast clouds,72,49.58,111.98,62.29,0.0,0.0,10.13
25,salinas,90,US,overcast clouds,77,36.68,-121.66,62.6,0.0,0.0,12.75
26,laguna,1,US,clear sky,53,38.42,-121.42,73.4,0.0,0.0,12.75
27,severo-kurilsk,99,RU,overcast clouds,83,50.68,156.12,49.12,0.0,0.0,7.58
28,mayumba,89,GA,overcast clouds,91,-3.43,10.66,70.5,0.0,0.0,2.19
29,jamestown,75,US,light rain,87,42.1,-79.24,61.0,0.25,0.25,8.05
30,colares,7,PT,clear sky,96,38.8,-9.45,63.0,0.0,0.0,11.99
31,beira,20,MZ,few clouds,88,-19.84,34.84,69.8,0.0,0.0,5.82
32,rikitea,78,PF,broken clouds,54,-23.12,-134.97,70.25,0.0,0.0,10.69
33,cape town,0,ZA,clear sky,93,-33.93,18.42,55.0,0.0,0.0,9.17
34,barrow,90,US,overcast clouds,80,71.29,-156.79,35.6,0.0,0.0,4.88
35,hithadhoo,27,MV,scattered clouds,73,-0.6,73.08,84.49,0.0,0.0,9.73
36,ushuaia,90,AR,light snow,80,-54.8,-68.3,33.8,0.0,0.0,11.41
37,cumberland,20,US,few clouds,94,35.05,-78.87,73.4,0.0,0.0,8.05
38,hualmay,88,PE,overcast clouds,87,-11.1,-77.61,61.0,0.0,0.0,4.74
39,mahebourg,40,MU,shower rain,78,-20.41,57.7,73.4,0.0,0.0,11.41
40,cherskiy,59,RU,broken clouds,42,68.75,161.3,54.18,0.0,0.0,18.14
41,namatanai,13,PG,light rain,73,-3.67,152.43,84.6,0.13,0.13,9.08
42,novorudnyy,88,RU,overcast clouds,25,51.5,58.19,75.2,0.0,0.0,24.61
43,taoudenni,0,ML,clear sky,11,22.68,-3.98,90.97,0.0,0.0,12.93
44,fortuna,90,US,overcast clouds,93,40.6,-124.16,59.0,0.0,0.0,4.7
45,faanui,98,PF,overcast clouds,84,-16.48,-151.75,79.11,0.0,0.0,15.86
