City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
4,kapaa,US,80.6,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
5,fukue,JP,80.6,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
7,amalapuram,IN,89.6,16.58,82.02,swayamprabha service apartments
9,busselton,AU,62.01,-33.65,115.33,Observatory Guest House
11,cananeia,BR,67.05,-25.01,-47.93,Casa azul
13,yellowknife,CA,66.2,62.46,-114.35,The Explorer Hotel
14,atar,MR,89.31,20.52,-13.05,Oumou Elghoura
15,den helder,NL,66.99,52.96,4.76,Hotel Den Helder
16,butaritari,KI,83.79,3.07,172.79,Isles Sunset Lodge
17,vao,NC,71.28,-22.67,167.48,Hotel Kou-Bugny
18,hervey bay,AU,68.0,-25.3,152.85,Shelly Bay Resort
21,yeppoon,AU,73.4,-23.13,150.73,Villa Mar Colina
23,ribeira grande,PT,61.02,38.52,-28.7,Quinta da Meia Eira
24,kyra,RU,62.29,49.58,111.98,
25,salinas,US,62.6,36.68,-121.66,Good Nite Inn Salinas Monterey
26,laguna,US,73.4,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
28,mayumba,GA,70.5,-3.43,10.66,LIKWALE LODGE
30,colares,PT,63.0,38.8,-9.45,Arribas Sintra Hotel
31,beira,MZ,69.8,-19.84,34.84,Beira Terrace Hotel
32,rikitea,PF,70.25,-23.12,-134.97,Pension Maro'i
35,hithadhoo,MV,84.49,-0.6,73.08,Scoop Guest House
37,cumberland,US,73.4,35.05,-78.87,American Eagle Inn
38,hualmay,PE,61.0,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
39,mahebourg,MU,73.4,-20.41,57.7,Shandrani Beachcomber Resort & Spa
42,novorudnyy,RU,75.2,51.5,58.19,Novorudnyy
45,faanui,PF,79.11,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,ponta do sol,PT,69.8,32.67,-17.1,Hotel do Campo
47,olga,RU,65.48,43.74,135.29,Gostinitsa Rosmorport.
50,talara,PE,66.22,-4.58,-81.27,Hostal Oro Negro
52,hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
55,asau,RO,62.01,46.43,26.4,Casa Mika Ciobanus
59,westport,US,72.0,41.14,-73.36,The Westport Inn
65,carnarvon,AU,71.6,-24.87,113.63,Hospitality Carnarvon
66,san quintin,MX,63.52,30.48,-115.95,Old Mill Hotel
67,atuona,PF,79.93,-9.8,-139.03,Villa Enata
71,whyalla,AU,62.6,-33.03,137.58,Foreshore Motor Inn
72,moerai,PF,72.97,-22.43,-151.33,Le Manotel
73,chokurdakh,RU,78.49,70.63,147.92,
74,yaan,NG,72.93,7.38,8.57,
75,torbay,CA,66.2,47.67,-52.73,Gallows Cove
76,los llanos de aridane,ES,71.6,28.66,-17.92,Valle Aridane
78,rongcheng,CN,80.01,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
79,cockburn town,TC,82.33,21.46,-71.14,Osprey Beach Hotel
81,beloha,MG,63.61,-25.17,45.05,
85,gat,IL,75.0,31.61,34.76,רגע בנחת
86,hamilton,US,64.99,39.18,-84.53,Six Acres Bed & Breakfast
89,georgetown,MY,89.6,5.41,100.34,Cititel Penang
90,northam,GB,61.0,51.03,-4.22,Durrant House Hotel
91,kapustin yar,RU,75.07,48.58,45.74,"Gostinitsa ""Znamensk"""
92,hasaki,JP,73.0,35.73,140.83,Inubosaki Kanko Hotel
94,shimoda,JP,75.2,34.67,138.95,Shimoda Tokyu Hotel
96,saskylakh,RU,87.46,71.92,114.08,
97,omsukchan,RU,78.13,62.53,155.8,
105,bathsheba,BB,80.6,13.22,-59.52,Atlantis Hotel
106,naco,MX,78.01,31.33,-109.95,Naco Estates Mobile Home & RV
107,puerto ayora,EC,70.0,-0.74,-90.35,Finch Bay Galapagos Hotel
110,terme,TR,75.2,41.21,36.97,OTEL GÜVEN TERME
111,mayo,US,80.6,38.89,-76.51,Resorts Resource Group International
112,solnechnyy,RU,63.46,50.72,136.63,Hotel complex Pastoral
113,sfantu gheorghe,RO,62.01,45.87,25.78,Hotel Park Sfantu Gheorghe
115,halifax,CA,64.0,44.65,-63.57,Hotel Halifax
116,aksu,CN,89.89,41.12,80.26,Pudong Holiday Hotel
