City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Torbay,47.67,-52.73,45.0,100,90,11.41,CA,2020-06-20 19:52:50
1,Viedma,-40.81,-63.0,51.58,72,99,18.63,AR,2020-06-20 19:52:50
2,East London,-33.02,27.91,69.4,30,0,8.21,ZA,2020-06-20 19:52:50
3,Ushuaia,-54.8,-68.3,37.4,87,75,3.36,AR,2020-06-20 19:52:27
4,Provideniya,64.38,-173.3,56.98,46,0,5.41,RU,2020-06-20 19:52:51
5,Bonavista,48.65,-53.11,43.81,71,1,8.97,CA,2020-06-20 19:52:51
6,Cape Town,-33.93,18.42,60.01,87,20,5.82,ZA,2020-06-20 19:52:51
7,Praia Da Vitoria,38.73,-27.07,77.0,61,20,7.99,PT,2020-06-20 19:52:51
8,Rikitea,-23.12,-134.97,75.74,85,82,13.02,PF,2020-06-20 19:52:52
9,La Ronge,55.1,-105.28,51.8,62,75,6.93,CA,2020-06-20 19:52:52
10,Mahanoro,-19.9,48.8,68.81,90,100,7.85,MG,2020-06-20 19:52:52
11,Atuona,-9.8,-139.03,79.63,78,6,16.13,PF,2020-06-20 19:52:52
12,Rawson,-43.3,-65.1,58.59,43,49,28.16,AR,2020-06-20 19:52:52
13,Mitsamiouli,-11.38,43.28,76.5,84,100,18.34,KM,2020-06-20 19:52:53
14,Clyde River,70.47,-68.59,41.0,93,20,8.05,CA,2020-06-20 19:52:53
15,Lagoa,39.05,-27.98,65.52,92,0,17.0,PT,2020-06-20 19:52:53
16,Sisimiut,66.94,-53.67,46.69,59,57,14.2,GL,2020-06-20 19:52:53
17,Palmer,42.16,-72.33,91.4,36,75,8.05,US,2020-06-20 19:52:54
18,Goulburn,-34.75,149.72,46.0,94,100,3.36,AU,2020-06-20 19:52:54
19,Bluff,-46.6,168.33,39.0,83,24,3.0,NZ,2020-06-20 19:52:54
20,Bellegarde-Sur-Valserine,46.11,5.82,68.0,63,100,4.7,FR,2020-06-20 19:52:54
21,Rock Sound,24.9,-76.2,82.09,77,100,6.2,BS,2020-06-20 19:52:55
22,Nikolskoye,59.7,30.79,60.8,59,0,8.95,RU,2020-06-20 19:52:55
23,Akyab,20.15,92.9,81.72,84,10,8.03,MM,2020-06-20 19:52:55
24,Sioux Lookout,50.1,-91.92,71.6,40,75,5.82,CA,2020-06-20 19:52:55
25,Albany,42.6,-73.97,90.0,58,73,5.1,US,2020-06-20 19:52:55
26,Puerto Ayora,-0.74,-90.35,75.2,78,20,17.22,EC,2020-06-20 19:52:56
27,Jamestown,42.1,-79.24,79.0,69,90,8.05,US,2020-06-20 19:52:56
28,Kapaa,22.08,-159.32,77.0,88,75,14.99,US,2020-06-20 19:52:56
29,Am Timan,11.03,20.28,82.27,61,100,7.9,TD,2020-06-20 19:52:56
30,Busselton,-33.65,115.33,42.01,70,0,6.08,AU,2020-06-20 19:52:57
31,Camapua,-19.53,-54.04,83.79,35,0,6.06,BR,2020-06-20 19:52:57
32,Nouadhibou,20.93,-17.03,75.2,64,25,12.75,MR,2020-06-20 19:52:57
33,San Quintin,30.48,-115.95,68.29,63,0,14.74,MX,2020-06-20 19:52:57
34,Pisco,-13.7,-76.22,68.0,77,7,11.41,PE,2020-06-20 19:52:57
35,Vostok,46.49,135.88,44.71,100,100,3.98,RU,2020-06-20 19:52:58
